pair_id,crop,member_a,member_b,n_imgs_total,lookalike_prior,web_checked,web_verified,confirmed,clip_scored,matched_cross_knn,clip_lane_hint,needs_web
soybean__downy-mildew__frogeye-leaf-spot,Soybean,Downy Mildew,Frogeye Leaf Spot,58,4.3,True,False,False,True,0.0321,image_decisive,False
soybean__frogeye-leaf-spot__genus-diaporthe,Soybean,Frogeye Leaf Spot,Genus Diaporthe,35,4.3,True,False,False,True,0.0,image_decisive,False
soybean__frogeye-leaf-spot__root-and-stem-rot,Soybean,Frogeye Leaf Spot,Root And Stem Rot,39,4.3,True,False,False,True,0.0,image_decisive,False
soybean__genus-diaporthe__root-and-stem-rot,Soybean,Genus Diaporthe,Root And Stem Rot,28,4.3,True,True,True,True,0.3333,image_ambiguous,False
peanut__nothopassalora-personata__southern-blight,Peanut,Nothopassalora Personata,Southern Blight,44,4.3,True,False,False,True,0.0,image_decisive,False
corn__common-corn-rust__goss--bacterial-wilt,Corn,Common Corn Rust,Goss' Bacterial Wilt,30,4.3,True,False,False,False,,,False
corn__common-corn-rust__southern-corn-rust,Corn,Common Corn Rust,Southern Corn Rust,29,4.3,True,True,True,True,0.3077,image_ambiguous,False
corn__corn-smut__goss--bacterial-wilt,Corn,Corn Smut,Goss' Bacterial Wilt,77,4.3,True,False,False,True,0.0294,image_decisive,False
corn__goss--bacterial-wilt__southern-corn-rust,Corn,Goss' Bacterial Wilt,Southern Corn Rust,31,4.3,True,False,False,False,,,False
corn__goss--bacterial-wilt__white-ear-rot-and-seedling-blight-of-maize,Corn,Goss' Bacterial Wilt,White Ear Rot And Seedling Blight Of Maize,42,4.3,True,False,False,True,0.2778,image_ambiguous,False
wheat__loose-smut-of-wheat-or-barley__powdery-mildew,Wheat,Loose Smut Of Wheat Or Barley,Powdery Mildew,62,4.3,True,False,False,True,0.1373,image_decisive,False
wheat__loose-smut-of-wheat-or-barley__stripe-rust,Wheat,Loose Smut Of Wheat Or Barley,Stripe Rust,58,4.3,True,False,False,True,0.0919,image_decisive,False
tomato__gray-mold__sclerotinia-timber-rot,Tomato,Gray Mold,Sclerotinia Timber Rot,41,4.2,True,True,True,True,0.1612,image_decisive,False
tomato__late-blight__sclerotinia-timber-rot,Tomato,Late Blight,Sclerotinia Timber Rot,138,4.2,True,False,False,True,0.0217,image_decisive,False
tomato__sclerotinia-timber-rot__southern-blight,Tomato,Sclerotinia Timber Rot,Southern Blight,55,4.2,True,True,True,True,0.0871,image_decisive,False
tomato__sclerotinia-timber-rot__tomato-leaf-mould,Tomato,Sclerotinia Timber Rot,Tomato Leaf Mould,58,4.2,True,False,False,True,0.1634,image_decisive,False
tomato__septoria-leaf-spot__southern-blight,Tomato,Septoria Leaf Spot,Southern Blight,61,4.2,True,False,False,True,0.0629,image_decisive,False
soybean__cercospora-blight__charcoal-rot,Soybean,Cercospora Blight,Charcoal Rot,80,4.2,True,False,False,True,0.0326,image_decisive,False
soybean__cercospora-blight__southern-blight,Soybean,Cercospora Blight,Southern Blight,73,4.2,True,False,False,True,0.0391,image_decisive,False
soybean__charcoal-rot__frogeye-leaf-spot,Soybean,Charcoal Rot,Frogeye Leaf Spot,49,4.2,True,False,False,True,0.0,image_decisive,False
soybean__charcoal-rot__root-and-stem-rot,Soybean,Charcoal Rot,Root And Stem Rot,42,4.2,True,True,True,True,0.0345,image_decisive,False
soybean__charcoal-rot__soybean-rust,Soybean,Charcoal Rot,Soybean Rust,58,4.2,True,False,False,True,0.0,image_decisive,False
soybean__downy-mildew__genus-diaporthe,Soybean,Downy Mildew,Genus Diaporthe,47,4.2,True,False,False,True,0.0,image_decisive,False
soybean__downy-mildew__root-and-stem-rot,Soybean,Downy Mildew,Root And Stem Rot,51,4.2,True,False,False,True,0.0,image_decisive,False
soybean__frogeye-leaf-spot__sclerotinia-timber-rot,Soybean,Frogeye Leaf Spot,Sclerotinia Timber Rot,82,4.2,True,False,False,True,0.0,image_decisive,False
soybean__frogeye-leaf-spot__southern-blight,Soybean,Frogeye Leaf Spot,Southern Blight,42,4.2,True,False,False,True,0.0231,image_decisive,False
soybean__frogeye-leaf-spot__soybean-rust,Soybean,Frogeye Leaf Spot,Soybean Rust,55,4.2,True,False,False,True,0.0345,image_decisive,False
soybean__genus-diaporthe__sclerotinia-timber-rot,Soybean,Genus Diaporthe,Sclerotinia Timber Rot,71,4.2,True,True,True,False,,,False
peanut__nothopassalora-personata__passalora-fungus,Peanut,Nothopassalora Personata,Passalora Fungus,40,4.2,True,True,True,True,0.0625,image_decisive,False
peanut__passalora-fungus__southern-blight,Peanut,Passalora Fungus,Southern Blight,50,4.2,True,False,False,False,,,False
melon__alternaria-leaf-blight__anthracnose,Melon,Alternaria Leaf Blight,Anthracnose,76,4.2,True,False,False,True,0.1326,image_decisive,False
melon__anthracnose__phytophthora-blight,Melon,Anthracnose,Phytophthora Blight,77,4.2,True,False,False,True,0.0172,image_decisive,False
squash__choanephora-fruit-rot__cucurbit-downy-mildew,Squash,Choanephora Fruit Rot,Cucurbit Downy Mildew,122,4.2,True,False,False,False,,,False
watermelon__anthracnose__cucurbit-downy-mildew,Watermelon,Anthracnose,Cucurbit Downy Mildew,124,4.2,True,True,True,True,0.1316,image_decisive,False
watermelon__anthracnose__pythium-diseases,Watermelon,Anthracnose,Pythium Diseases,93,4.2,True,False,False,True,0.0263,image_decisive,False
watermelon__cucurbit-downy-mildew__gummy-stem-blight,Watermelon,Cucurbit Downy Mildew,Gummy Stem Blight,136,4.2,True,True,True,True,0.1351,image_decisive,False
watermelon__gummy-stem-blight__pythium-diseases,Watermelon,Gummy Stem Blight,Pythium Diseases,105,4.2,True,False,False,True,0.0496,image_decisive,False
watermelon__powdery-mildew__pythium-diseases,Watermelon,Powdery Mildew,Pythium Diseases,60,4.2,True,False,False,True,0.0435,image_decisive,False
lettuce__downy-mildew__gray-mold,Lettuce,Downy Mildew,Gray Mold,89,4.2,True,True,True,True,0.0227,image_decisive,False
lettuce__gray-mold__rhizoctonia-damping-off--blight-and-rot,Lettuce,Gray Mold,"Rhizoctonia Damping-Off, Blight And Rot",34,4.2,True,False,False,False,,,False
lettuce__gray-mold__sclerotinia-timber-rot,Lettuce,Gray Mold,Sclerotinia Timber Rot,161,4.2,True,True,True,True,0.0,image_decisive,False
corn__corn-smut__fusarium-graminearum-schwabe,Corn,Corn Smut,Fusarium Graminearum Schwabe,74,4.2,True,True,True,True,0.2414,image_ambiguous,False
corn__corn-smut__southern-corn-rust,Corn,Corn Smut,Southern Corn Rust,76,4.2,True,False,False,True,0.0345,image_decisive,False
corn__southern-corn-rust__white-ear-rot-and-seedling-blight-of-maize,Corn,Southern Corn Rust,White Ear Rot And Seedling Blight Of Maize,41,4.2,True,False,False,True,0.0,image_decisive,False
grape__downy-mildew__powdery-mildew,Grape,Downy Mildew,Powdery Mildew,79,4.2,True,True,True,True,0.0411,image_decisive,False
sweet-potato__java-black-rot__southern-blight,Sweet Potato,Java Black Rot,Southern Blight,66,4.2,True,False,False,True,0.1138,image_decisive,False
potato__bacterial-soft-rot__late-blight,Potato,Bacterial Soft Rot,Late Blight,73,4.2,True,True,True,True,0.0426,image_decisive,False
potato__bacterial-soft-rot__phytophthora-root-and-stem-rot,Potato,Bacterial Soft Rot,Phytophthora Root And Stem Rot,40,4.2,True,True,True,True,0.0357,image_decisive,False
cucumber__corynespora-leaf-spot__pythium-diseases,Cucumber,Corynespora Leaf Spot,Pythium Diseases,54,4.2,True,False,False,True,0.0286,image_decisive,False
wheat__fusarium-graminearum-schwabe__fusarium-wilts--blights--rots-and-damping-off,Wheat,Fusarium Graminearum Schwabe,"Fusarium Wilts, Blights, Rots And Damping-Off",62,4.2,True,True,True,True,0.1304,image_decisive,False
wheat__fusarium-wilts--blights--rots-and-damping-off__wheat-stem-rust,Wheat,"Fusarium Wilts, Blights, Rots And Damping-Off",Wheat Stem Rust,44,4.2,True,False,False,True,0.0857,image_decisive,False
wheat__loose-smut-of-wheat-or-barley__tan-spot,Wheat,Loose Smut Of Wheat Or Barley,Tan Spot,41,4.2,True,False,False,True,0.174,image_decisive,False
tomato__anthracnose__southern-blight,Tomato,Anthracnose,Southern Blight,49,4.1,True,False,False,True,0.037,image_decisive,False
tomato__bacterial-wilt__southern-bacterial-wilt,Tomato,Bacterial Wilt,Southern Bacterial Wilt,27,4.1,True,True,True,True,0.1111,image_decisive,False
tomato__rhizopus-soft-rots__southern-blight,Tomato,Rhizopus Soft Rots,Southern Blight,51,4.1,True,False,False,True,0.1034,image_decisive,False
tomato__sclerotinia-timber-rot__septoria-leaf-spot,Tomato,Sclerotinia Timber Rot,Septoria Leaf Spot,44,4.1,True,False,False,True,0.1895,image_decisive,False
soybean__cercospora-blight__taproot-decline-on-soybean,Soybean,Cercospora Blight,Taproot Decline On Soybean,68,4.1,True,False,False,True,0.0,image_decisive,False
soybean__charcoal-rot__downy-mildew,Soybean,Charcoal Rot,Downy Mildew,61,4.1,True,False,False,True,0.0,image_decisive,False
soybean__charcoal-rot__genus-diaporthe,Soybean,Charcoal Rot,Genus Diaporthe,38,4.1,True,True,True,True,0.04,image_decisive,False
soybean__charcoal-rot__sclerotinia-timber-rot,Soybean,Charcoal Rot,Sclerotinia Timber Rot,85,4.1,True,False,False,True,0.0204,image_decisive,False
soybean__charcoal-rot__southern-blight,Soybean,Charcoal Rot,Southern Blight,45,4.1,True,False,False,True,0.0501,image_decisive,False
soybean__charcoal-rot__taproot-decline-on-soybean,Soybean,Charcoal Rot,Taproot Decline On Soybean,40,4.1,True,False,False,True,0.0,image_decisive,False
soybean__downy-mildew__sclerotinia-timber-rot,Soybean,Downy Mildew,Sclerotinia Timber Rot,94,4.1,True,True,True,True,0.0,image_decisive,False
soybean__downy-mildew__southern-blight,Soybean,Downy Mildew,Southern Blight,54,4.1,True,False,False,True,0.0158,image_decisive,False
soybean__frogeye-leaf-spot__taproot-decline-on-soybean,Soybean,Frogeye Leaf Spot,Taproot Decline On Soybean,37,4.1,True,False,False,True,0.0,image_decisive,False
soybean__genus-diaporthe__southern-blight,Soybean,Genus Diaporthe,Southern Blight,31,4.1,True,True,True,True,0.0526,image_decisive,False
soybean__genus-diaporthe__soybean-rust,Soybean,Genus Diaporthe,Soybean Rust,44,4.1,True,False,False,True,0.0333,image_decisive,False
soybean__root-and-stem-rot__soybean-rust,Soybean,Root And Stem Rot,Soybean Rust,48,4.1,True,False,False,True,0.0,image_decisive,False
soybean__southern-blight__soybean-rust,Soybean,Southern Blight,Soybean Rust,51,4.1,True,False,False,True,0.0163,image_decisive,False
soybean__southern-blight__taproot-decline-on-soybean,Soybean,Southern Blight,Taproot Decline On Soybean,33,4.1,True,True,True,True,0.0476,image_decisive,False
soybean__soybean-rust__taproot-decline-on-soybean,Soybean,Soybean Rust,Taproot Decline On Soybean,46,4.1,True,False,False,True,0.0,image_decisive,False
strawberry__gray-mold__phomopsis-leaf-blight-and-fruit-rot,Strawberry,Gray Mold,Phomopsis Leaf Blight And Fruit Rot,30,4.1,True,False,False,True,0.0,image_decisive,False
strawberry__gray-mold__ramularia-grevilleana-verkley---u--braun,Strawberry,Gray Mold,Ramularia Grevilleana Verkley & U. Braun,47,4.1,True,True,True,True,0.0,image_decisive,False
melon__alternaria-leaf-blight__cucurbit-downy-mildew,Melon,Alternaria Leaf Blight,Cucurbit Downy Mildew,80,4.1,True,True,True,True,0.119,image_decisive,False
melon__alternaria-leaf-blight__gummy-stem-blight,Melon,Alternaria Leaf Blight,Gummy Stem Blight,98,4.1,True,True,True,True,0.0772,image_decisive,False
melon__anthracnose__charcoal-rot,Melon,Anthracnose,Charcoal Rot,45,4.1,True,False,False,True,0.0,image_decisive,False
melon__charcoal-rot__fusarium-wilts--blights--rots-and-damping-off,Melon,Charcoal Rot,"Fusarium Wilts, Blights, Rots And Damping-Off",30,4.1,True,True,True,True,0.0,image_decisive,False
melon__charcoal-rot__sour-rot,Melon,Charcoal Rot,Sour Rot,45,4.1,True,False,False,True,0.0,image_decisive,False
melon__cucurbit-downy-mildew__sour-rot,Melon,Cucurbit Downy Mildew,Sour Rot,58,4.1,True,False,False,True,0.0,image_decisive,False
melon__fusarium-wilts--blights--rots-and-damping-off__gummy-stem-blight,Melon,"Fusarium Wilts, Blights, Rots And Damping-Off",Gummy Stem Blight,61,4.1,True,True,True,True,0.0323,image_decisive,False
melon__fusarium-wilts--blights--rots-and-damping-off__monosporascus-root-rot,Melon,"Fusarium Wilts, Blights, Rots And Damping-Off",Monosporascus Root Rot,53,4.1,True,True,True,True,0.0455,image_decisive,False
melon__fusarium-wilts--blights--rots-and-damping-off__phytophthora-blight,Melon,"Fusarium Wilts, Blights, Rots And Damping-Off",Phytophthora Blight,62,4.1,True,True,True,True,0.0652,image_decisive,False
melon__fusarium-wilts--blights--rots-and-damping-off__powdery-mildew,Melon,"Fusarium Wilts, Blights, Rots And Damping-Off",Powdery Mildew,29,4.1,True,False,False,True,0.0625,image_decisive,False
melon__gummy-stem-blight__sour-rot,Melon,Gummy Stem Blight,Sour Rot,76,4.1,True,False,False,True,0.0847,image_decisive,False
melon__phytophthora-blight__sour-rot,Melon,Phytophthora Blight,Sour Rot,77,4.1,True,False,False,True,0.0455,image_decisive,False
oak__anthracnose__botryosphaeria-rots-and-cankers,Oak,Anthracnose,Botryosphaeria Rots And Cankers,42,4.1,True,False,False,True,0.0263,image_decisive,False
oak__botryosphaeria-rots-and-cankers__leaf-spot,Oak,Botryosphaeria Rots And Cankers,Leaf Spot,43,4.1,True,False,False,True,0.0976,image_decisive,False
oak__botryosphaeria-rots-and-cankers__oak-leaf-blister,Oak,Botryosphaeria Rots And Cankers,Oak Leaf Blister,44,4.1,True,False,False,True,0.1143,image_decisive,False
oak__coryneum-twig-blight__oak-leaf-blister,Oak,Coryneum Twig Blight,Oak Leaf Blister,26,4.1,True,False,False,True,0.0,image_decisive,False
squash__anthracnose__choanephora-fruit-rot,Squash,Anthracnose,Choanephora Fruit Rot,63,4.1,True,False,False,True,0.1579,image_decisive,False
squash__anthracnose__gummy-stem-blight,Squash,Anthracnose,Gummy Stem Blight,43,4.1,True,True,True,False,,,False
squash__anthracnose__southern-blight,Squash,Anthracnose,Southern Blight,43,4.1,True,False,False,False,,,False
squash__choanephora-fruit-rot__phytophthora-blight,Squash,Choanephora Fruit Rot,Phytophthora Blight,289,4.1,True,False,False,True,0.2941,image_ambiguous,False
squash__choanephora-fruit-rot__plectosphaerella-fungus,Squash,Choanephora Fruit Rot,Plectosphaerella Fungus,64,4.1,True,False,False,False,,,False
squash__cucurbit-downy-mildew__southern-blight,Squash,Cucurbit Downy Mildew,Southern Blight,102,4.1,True,False,False,False,,,False
squash__gummy-stem-blight__plectosphaerella-fungus,Squash,Gummy Stem Blight,Plectosphaerella Fungus,44,4.1,True,False,False,False,,,False
squash__phytophthora-blight__southern-blight,Squash,Phytophthora Blight,Southern Blight,269,4.1,True,False,False,False,,,False
squash__plectosphaerella-fungus__southern-blight,Squash,Plectosphaerella Fungus,Southern Blight,44,4.1,True,False,False,False,,,False
squash__powdery-mildew__southern-blight,Squash,Powdery Mildew,Southern Blight,57,4.1,True,False,False,True,0.05,image_decisive,False
watermelon__bacterial-fruit-blotch__powdery-mildew,Watermelon,Bacterial Fruit Blotch,Powdery Mildew,103,4.1,True,False,False,True,0.0256,image_decisive,False
watermelon__cucurbit-downy-mildew__phytophthora-blight,Watermelon,Cucurbit Downy Mildew,Phytophthora Blight,199,4.1,True,True,True,True,0.0,image_decisive,False
watermelon__cucurbit-downy-mildew__powdery-mildew,Watermelon,Cucurbit Downy Mildew,Powdery Mildew,91,4.1,True,True,True,True,0.0664,image_decisive,False
watermelon__phytophthora-blight__pythium-diseases,Watermelon,Phytophthora Blight,Pythium Diseases,168,4.1,True,True,True,True,0.0294,image_decisive,False
lettuce__downy-mildew__powdery-mildew,Lettuce,Downy Mildew,Powdery Mildew,111,4.1,True,True,True,True,0.0275,image_decisive,False
lettuce__downy-mildew__sclerotinia-stem-rot,Lettuce,Downy Mildew,Sclerotinia Stem Rot,79,4.1,True,False,False,True,0.0,image_decisive,False
lettuce__downy-mildew__southern-blight,Lettuce,Downy Mildew,Southern Blight,80,4.1,True,False,False,True,0.0,image_decisive,False
lettuce__gray-mold__southern-blight,Lettuce,Gray Mold,Southern Blight,35,4.1,True,False,False,True,0.0,image_decisive,False
lettuce__lettuce-chlorosis-virus__sclerotinia-timber-rot,Lettuce,Lettuce Chlorosis Virus,Sclerotinia Timber Rot,162,4.1,True,False,False,True,0.0294,image_decisive,False
lettuce__powdery-mildew__sclerotinia-stem-rot,Lettuce,Powdery Mildew,Sclerotinia Stem Rot,56,4.1,True,False,False,True,0.0,image_decisive,False
lettuce__powdery-mildew__sclerotinia-timber-rot,Lettuce,Powdery Mildew,Sclerotinia Timber Rot,183,4.1,True,False,False,True,0.0,image_decisive,False
lettuce__rhizoctonia-damping-off--blight-and-rot__southern-blight,Lettuce,"Rhizoctonia Damping-Off, Blight And Rot",Southern Blight,25,4.1,True,True,True,False,,,False
lettuce__sclerotinia-stem-rot__sclerotinia-timber-rot,Lettuce,Sclerotinia Stem Rot,Sclerotinia Timber Rot,151,4.1,True,True,True,True,0.0,image_decisive,False
lettuce__sclerotinia-timber-rot__southern-blight,Lettuce,Sclerotinia Timber Rot,Southern Blight,152,4.1,True,True,True,True,0.0,image_decisive,False
cabbage__bacterial-soft-rot__club-root-of-crucifers,Cabbage,Bacterial Soft Rot,Club Root Of Crucifers,30,4.1,True,False,False,True,0.0,image_decisive,False
cabbage__bacterial-soft-rot__downy-mildew,Cabbage,Bacterial Soft Rot,Downy Mildew,83,4.1,True,False,False,True,0.0,image_decisive,False
cabbage__bacterial-soft-rot__phytophthora-root-and-stem-rot,Cabbage,Bacterial Soft Rot,Phytophthora Root And Stem Rot,27,4.1,True,False,False,True,0.0333,image_decisive,False
cabbage__club-root-of-crucifers__downy-mildew,Cabbage,Club Root Of Crucifers,Downy Mildew,89,4.1,True,False,False,True,0.0,image_decisive,False
corn__anthracnose__common-corn-rust,Corn,Anthracnose,Common Corn Rust,26,4.1,True,False,False,False,,,False
corn__anthracnose__corn-smut,Corn,Anthracnose,Corn Smut,73,4.1,True,False,False,True,0.0333,image_decisive,False
corn__anthracnose__goss--bacterial-wilt,Corn,Anthracnose,Goss' Bacterial Wilt,28,4.1,True,False,False,True,0.4167,image_ambiguous,False
corn__anthracnose__southern-corn-rust,Corn,Anthracnose,Southern Corn Rust,27,4.1,True,False,False,False,,,False
corn__anthracnose__white-ear-rot-and-seedling-blight-of-maize,Corn,Anthracnose,White Ear Rot And Seedling Blight Of Maize,38,4.1,True,False,False,True,0.4286,image_ambiguous,False
grape__black-rot__powdery-mildew,Grape,Black Rot,Powdery Mildew,83,4.1,True,False,False,True,0.0,image_decisive,False
grape__grape-anthracnose__powdery-mildew,Grape,Grape Anthracnose,Powdery Mildew,58,4.1,True,False,False,True,0.0,image_decisive,False
sweet-potato__bacteria-wilt-and-soft-rot__fusarium-damping-off,Sweet Potato,Bacteria Wilt And Soft Rot,Fusarium Damping-Off,68,4.1,True,False,False,True,0.1186,image_decisive,False
sweet-potato__bacteria-wilt-and-soft-rot__fusarium-wilt,Sweet Potato,Bacteria Wilt And Soft Rot,Fusarium Wilt,54,4.1,True,False,False,True,0.1087,image_decisive,False
sweet-potato__bacteria-wilt-and-soft-rot__java-black-rot,Sweet Potato,Bacteria Wilt And Soft Rot,Java Black Rot,66,4.1,True,False,False,True,0.0408,image_decisive,False
sweet-potato__bacteria-wilt-and-soft-rot__penicillium-fungi,Sweet Potato,Bacteria Wilt And Soft Rot,Penicillium Fungi,129,4.1,True,False,False,True,0.1154,image_decisive,False
sweet-potato__bacteria-wilt-and-soft-rot__scurf,Sweet Potato,Bacteria Wilt And Soft Rot,Scurf,103,4.1,True,False,False,True,0.0946,image_decisive,False
sweet-potato__bacteria-wilt-and-soft-rot__sour-rot,Sweet Potato,Bacteria Wilt And Soft Rot,Sour Rot,76,4.1,True,False,False,True,0.0161,image_decisive,False
sweet-potato__bacteria-wilt-and-soft-rot__southern-blight,Sweet Potato,Bacteria Wilt And Soft Rot,Southern Blight,84,4.1,True,False,False,True,0.0645,image_decisive,False
sweet-potato__bacteria-wilt-and-soft-rot__streptomyces-soil-rot,Sweet Potato,Bacteria Wilt And Soft Rot,Streptomyces Soil Rot,98,4.1,True,False,False,True,0.1408,image_decisive,False
sweet-potato__bread-mold__fusarium-damping-off,Sweet Potato,Bread Mold,Fusarium Damping-Off,72,4.1,True,False,False,True,0.0588,image_decisive,False
sweet-potato__bread-mold__fusarium-lateritium-nees,Sweet Potato,Bread Mold,Fusarium Lateritium Nees,61,4.1,True,False,False,True,0.0,image_decisive,False
sweet-potato__bread-mold__fusarium-wilt,Sweet Potato,Bread Mold,Fusarium Wilt,58,4.1,True,False,False,True,0.0476,image_decisive,False
sweet-potato__bread-mold__java-black-rot,Sweet Potato,Bread Mold,Java Black Rot,70,4.1,True,False,False,True,0.1161,image_decisive,False
sweet-potato__bread-mold__southern-blight,Sweet Potato,Bread Mold,Southern Blight,88,4.1,True,False,False,True,0.0705,image_decisive,False
sweet-potato__fusarium-damping-off__fusarium-lateritium-nees,Sweet Potato,Fusarium Damping-Off,Fusarium Lateritium Nees,41,4.1,True,False,False,True,0.0,image_decisive,False
sweet-potato__fusarium-damping-off__fusarium-wilt,Sweet Potato,Fusarium Damping-Off,Fusarium Wilt,38,4.1,True,False,False,True,0.0857,image_decisive,False
sweet-potato__fusarium-damping-off__java-black-rot,Sweet Potato,Fusarium Damping-Off,Java Black Rot,50,4.1,True,False,False,True,0.0526,image_decisive,False
sweet-potato__fusarium-damping-off__penicillium-fungi,Sweet Potato,Fusarium Damping-Off,Penicillium Fungi,113,4.1,True,False,False,True,0.0976,image_decisive,False
sweet-potato__fusarium-damping-off__rhizopus-soft-rots,Sweet Potato,Fusarium Damping-Off,Rhizopus Soft Rots,62,4.1,True,False,False,True,0.0294,image_decisive,False
sweet-potato__fusarium-damping-off__scurf,Sweet Potato,Fusarium Damping-Off,Scurf,87,4.1,True,False,False,True,0.127,image_decisive,False
sweet-potato__fusarium-damping-off__sour-rot,Sweet Potato,Fusarium Damping-Off,Sour Rot,60,4.1,True,False,False,True,0.0196,image_decisive,False
sweet-potato__fusarium-damping-off__southern-blight,Sweet Potato,Fusarium Damping-Off,Southern Blight,68,4.1,True,False,False,True,0.0392,image_decisive,False
sweet-potato__fusarium-damping-off__streptomyces-soil-rot,Sweet Potato,Fusarium Damping-Off,Streptomyces Soil Rot,82,4.1,True,False,False,True,0.1667,image_decisive,False
sweet-potato__fusarium-lateritium-nees__fusarium-wilt,Sweet Potato,Fusarium Lateritium Nees,Fusarium Wilt,27,4.1,True,False,False,True,0.0,image_decisive,False
sweet-potato__fusarium-lateritium-nees__java-black-rot,Sweet Potato,Fusarium Lateritium Nees,Java Black Rot,39,4.1,True,False,False,True,0.0,image_decisive,False
sweet-potato__fusarium-lateritium-nees__penicillium-fungi,Sweet Potato,Fusarium Lateritium Nees,Penicillium Fungi,102,4.1,True,False,False,True,0.0,image_decisive,False
sweet-potato__fusarium-lateritium-nees__rhizopus-soft-rots,Sweet Potato,Fusarium Lateritium Nees,Rhizopus Soft Rots,51,4.1,True,False,False,True,0.0,image_decisive,False
sweet-potato__fusarium-lateritium-nees__scurf,Sweet Potato,Fusarium Lateritium Nees,Scurf,76,4.1,True,False,False,True,0.0,image_decisive,False
sweet-potato__fusarium-lateritium-nees__sour-rot,Sweet Potato,Fusarium Lateritium Nees,Sour Rot,49,4.1,True,False,False,True,0.0,image_decisive,False
sweet-potato__fusarium-lateritium-nees__southern-blight,Sweet Potato,Fusarium Lateritium Nees,Southern Blight,57,4.1,True,False,False,True,0.012,image_decisive,False
sweet-potato__fusarium-lateritium-nees__streptomyces-soil-rot,Sweet Potato,Fusarium Lateritium Nees,Streptomyces Soil Rot,71,4.1,True,False,False,True,0.0244,image_decisive,False
sweet-potato__fusarium-wilt__java-black-rot,Sweet Potato,Fusarium Wilt,Java Black Rot,36,4.1,True,False,False,True,0.0,image_decisive,False
sweet-potato__fusarium-wilt__penicillium-fungi,Sweet Potato,Fusarium Wilt,Penicillium Fungi,99,4.1,True,False,False,True,0.0357,image_decisive,False
sweet-potato__fusarium-wilt__rhizopus-soft-rots,Sweet Potato,Fusarium Wilt,Rhizopus Soft Rots,48,4.1,True,False,False,True,0.1905,image_decisive,False
sweet-potato__fusarium-wilt__scurf,Sweet Potato,Fusarium Wilt,Scurf,73,4.1,True,False,False,True,0.06,image_decisive,False
sweet-potato__fusarium-wilt__sour-rot,Sweet Potato,Fusarium Wilt,Sour Rot,46,4.1,True,False,False,True,0.1316,image_decisive,False
sweet-potato__fusarium-wilt__southern-blight,Sweet Potato,Fusarium Wilt,Southern Blight,54,4.1,True,True,True,True,0.0789,image_decisive,False
sweet-potato__fusarium-wilt__streptomyces-soil-rot,Sweet Potato,Fusarium Wilt,Streptomyces Soil Rot,68,4.1,True,False,False,True,0.1489,image_decisive,False
sweet-potato__java-black-rot__penicillium-fungi,Sweet Potato,Java Black Rot,Penicillium Fungi,111,4.1,True,False,False,True,0.1696,image_decisive,False
sweet-potato__java-black-rot__rhizopus-soft-rots,Sweet Potato,Java Black Rot,Rhizopus Soft Rots,60,4.1,True,True,True,True,0.0985,image_decisive,False
sweet-potato__java-black-rot__scurf,Sweet Potato,Java Black Rot,Scurf,85,4.1,True,False,False,True,0.0189,image_decisive,False
sweet-potato__java-black-rot__sour-rot,Sweet Potato,Java Black Rot,Sour Rot,58,4.1,True,False,False,True,0.1009,image_decisive,False
sweet-potato__java-black-rot__streptomyces-soil-rot,Sweet Potato,Java Black Rot,Streptomyces Soil Rot,80,4.1,True,False,False,True,0.0,image_decisive,False
sweet-potato__penicillium-fungi__rhizopus-soft-rots,Sweet Potato,Penicillium Fungi,Rhizopus Soft Rots,123,4.1,True,False,False,True,0.1392,image_decisive,False
sweet-potato__penicillium-fungi__sour-rot,Sweet Potato,Penicillium Fungi,Sour Rot,121,4.1,True,False,False,True,0.1355,image_decisive,False
sweet-potato__penicillium-fungi__southern-blight,Sweet Potato,Penicillium Fungi,Southern Blight,129,4.1,True,False,False,True,0.0773,image_decisive,False
sweet-potato__penicillium-fungi__streptomyces-soil-rot,Sweet Potato,Penicillium Fungi,Streptomyces Soil Rot,143,4.1,True,False,False,True,0.0189,image_decisive,False
sweet-potato__rhizopus-soft-rots__scurf,Sweet Potato,Rhizopus Soft Rots,Scurf,97,4.1,True,False,False,True,0.1224,image_decisive,False
sweet-potato__rhizopus-soft-rots__sour-rot,Sweet Potato,Rhizopus Soft Rots,Sour Rot,70,4.1,True,False,False,True,0.1662,image_decisive,False
sweet-potato__rhizopus-soft-rots__southern-blight,Sweet Potato,Rhizopus Soft Rots,Southern Blight,78,4.1,True,False,False,True,0.1175,image_decisive,False
sweet-potato__rhizopus-soft-rots__streptomyces-soil-rot,Sweet Potato,Rhizopus Soft Rots,Streptomyces Soil Rot,92,4.1,True,False,False,True,0.0217,image_decisive,False
sweet-potato__scurf__sour-rot,Sweet Potato,Scurf,Sour Rot,95,4.1,True,False,False,True,0.1061,image_decisive,False
sweet-potato__scurf__southern-blight,Sweet Potato,Scurf,Southern Blight,103,4.1,True,False,False,True,0.0909,image_decisive,False
sweet-potato__scurf__streptomyces-soil-rot,Sweet Potato,Scurf,Streptomyces Soil Rot,117,4.1,True,False,False,True,0.12,image_decisive,False
sweet-potato__sour-rot__southern-blight,Sweet Potato,Sour Rot,Southern Blight,76,4.1,True,False,False,True,0.0588,image_decisive,False
